"","cluster1","cluster2","type"
"1","3","5","Significantly enriched"
"2","3","7","Significantly enriched"
"3","1","5","Significantly enriched"
"4","1","8","Significantly enriched"
"5","1","6","Significantly enriched"
"6","2","6","Significantly enriched"
"7","5","11","Significantly enriched"
"8","3","4","Significantly depleted"
"9","3","6","Significantly depleted"
