"","ligand","receptor"
"640","Fbn1","Itgav"
"641","Fbn1","Itgb1"
"642","Fbn1","Itgb3"
"644","Fga","Cdh5"
"645","Fga","Itga2b"
"646","Fga","Itga5"
"648","Fga","Itgav"
"649","Fga","Itgax"
"650","Fga","Itgb1"
"651","Fga","Itgb2"
"652","Fga","Itgb3"
"653","Fgb","Itga2b"
"654","Fgb","Itga5"
"656","Fgb","Itgav"
"657","Fgb","Itgb1"
"658","Fgb","Itgb2"
"659","Fgf10","Fgfr2"
"662","Fgf16","Fgfr2"
"663","Fgf16","Fgfr3"
"664","Fgf16","Fgfr4"
"665","Fgf17","Fgfr1"
"666","Fgf17","Fgfr2"
"667","Fgf17","Fgfr3"
"668","Fgf17","Fgfr4"
"669","Fgf18","Fgfr1"
"670","Fgf18","Fgfr2"
"671","Fgf18","Fgfr3"
"672","Fgf18","Fgfr4"
"673","Fgf15","Fgfr1"
"674","Fgf15","Fgfr2"
"675","Fgf15","Fgfr3"
"676","Fgf15","Fgfr4"
"677","Fgf15","Klb"
"678","Fgf1","Fgfr1"
"679","Fgf1","Fgfr2"
"680","Fgf1","Fgfr3"
"681","Fgf1","Fgfr4"
"682","Fgf1","Nrp1"
"683","Fgf20","Fgfr4"
"684","Fgf21","Fgfr4"
"685","Fgf22","Fgfr2"
"686","Fgf23","Fgfr1"
"687","Fgf23","Fgfr2"
"688","Fgf23","Fgfr3"
"689","Fgf23","Fgfr4"
"690","Fgf23","Phex"
"691","Fgf2","Cd44"
"692","Fgf2","Fgfr1"
"693","Fgf2","Fgfr2"
"694","Fgf2","Fgfr3"
"695","Fgf2","Fgfr4"
"696","Fgf2","Fgfrl1"
"697","Fgf2","Gpc4"
"698","Fgf2","Nrp1"
"699","Fgf2","Sdc1"
"700","Fgf2","Sdc2"
"701","Fgf2","Sdc3"
"702","Fgf2","Sdc4"
"703","Fgf3","Fgfr1"
"704","Fgf3","Fgfr2"
"705","Fgf3","Fgfr3"
"706","Fgf3","Fgfr4"
"707","Fgf4","Fgfr1"
"708","Fgf4","Fgfr2"
"709","Fgf4","Fgfr3"
"710","Fgf4","Fgfr4"
"711","Fgf4","Nrp1"
"712","Fgf5","Fgfr1"
"713","Fgf5","Fgfr2"
"714","Fgf5","Fgfr3"
"715","Fgf5","Fgfr4"
"716","Fgf6","Fgfr1"
"717","Fgf6","Fgfr2"
"718","Fgf6","Fgfr3"
"719","Fgf6","Fgfr4"
"720","Fgf7","Fgfr1"
"721","Fgf7","Fgfr2"
"722","Fgf7","Fgfr3"
"723","Fgf7","Fgfr4"
"724","Fgf7","Nrp1"
"725","Fgf8","Fgfr1"
"726","Fgf8","Fgfr2"
"727","Fgf8","Fgfr3"
"728","Fgf8","Fgfr4"
"729","Fgf9","Fgfr1"
"730","Fgf9","Fgfr2"
"731","Fgf9","Fgfr3"
"732","Fgf9","Fgfr4"
"733","Fgg","Itga2b"
"734","Fgg","Itga5"
"735","Fgg","Itgav"
"736","Fgg","Itgb1"
"737","Fgg","Itgb2"
"738","Fgl1","Egfr"
"743","Flt3l","Flt3"
"744","Fn1","Cd44"
"745","Fn1","Col13a1"
"746","Fn1","Itga2"
"747","Fn1","Itga2b"
"748","Fn1","Itga3"
"749","Fn1","Itga4"
"750","Fn1","Itga5"
"751","Fn1","Itga8"
"752","Fn1","Itga9"
"753","Fn1","Itgav"
"754","Fn1","Itgb1"
"755","Fn1","Itgb3"
"756","Fn1","Itgb6"
"757","Fn1","Itgb7"
"758","Fn1","Itgb8"
"759","Fn1","Mag"
"760","Fn1","Nt5e"
"761","Fn1","Plaur"
"762","Fn1","Sdc2"
"763","Fn1","Tmprss6"
"764","Fn1","Tnfrsf11b"
"765","Fn1","Tshr"
"766","Fshb","Fshr"
"767","Galp","Galr1"
"768","Galp","Galr2"
"769","Galp","Galr3"
"770","Gal","Galr1"
"771","Gal","Galr2"
"772","Gal","Galr3"
"773","Gal","Gpr151"
"774","Gas6","Axl"
"775","Gas6","Mertk"
"776","Gas6","Tyro3"
"777","Gast","Cckbr"
"778","Gcg","Gcgr"
"779","Gcg","Glp1r"
"780","Gcg","Glp2r"
"781","Gdf11","Acvr1b"
"782","Gdf11","Acvr2a"
"783","Gdf11","Acvr2b"
"784","Gdf2","Acvr1"
"785","Gdf2","Acvr2a"
"786","Gdf2","Acvr2b"
"787","Gdf2","Acvrl1"
"788","Gdf2","Bmpr2"
"789","Gdf2","Eng"
"790","Gdf5","Acvr1"
"791","Gdf5","Acvr2a"
"792","Gdf5","Acvr2b"
"793","Gdf5","Bmpr1a"
"794","Gdf5","Bmpr1b"
"795","Gdf5","Bmpr2"
"796","Gdf5","Ror2"
"797","Gdf6","Bmpr1a"
"798","Gdf6","Bmpr1b"
"799","Gdf6","Bmpr2"
"800","Gdf7","Acvr2a"
"801","Gdf7","Bmpr1a"
"802","Gdf7","Bmpr2"
"803","Gdf9","Acvr2a"
"804","Gdf9","Bmpr1a"
"805","Gdf9","Bmpr1b"
"806","Gdf9","Bmpr2"
"807","Gdf9","Fxyd6"
"808","Gdf9","Orai2"
"809","Gdf9","Tgfbr1"
"810","Gdnf","Gfra1"
"811","Gdnf","Gfra2"
