"","ligand","receptor"
"1334","Nppb","Npr1"
"1335","Nppb","Npr2"
"1336","Nppb","Npr3"
"1337","Nppc","Npr2"
"1338","Nppc","Npr3"
"1339","Nps","Npsr1"
"1341","Npvf","Npffr2"
"1342","Npw","Npbwr1"
"1344","Npy","Fap"
"1345","Npy","Mc4r"
"1346","Npy","Npffr2"
"1347","Npy","Npy1r"
"1348","Npy","Npy2r"
"1349","Npy","Npy4r"
"1350","Npy","Npy5r"
"1351","Npy","Prlhr"
"1352","Nrg1","Erbb2"
"1353","Nrg1","Erbb3"
"1354","Nrg1","Erbb4"
"1355","Nrg2","Erbb3"
"1356","Nrg2","Erbb4"
"1357","Nrg3","Erbb4"
"1358","Nrg4","Erbb4"
"1359","Nrtn","Gfra1"
"1360","Nrtn","Gfra2"
"1361","Nrtn","Ret"
"1362","Ntf3","Ngfr"
"1363","Ntf3","Ntrk1"
"1364","Ntf3","Ntrk2"
"1365","Ntf3","Ntrk3"
"1366","Ntf5","Ngfr"
"1368","Ntf5","Ntrk1"
"1369","Ntf5","Ntrk2"
"1370","Ntn1","Adora2b"
"1371","Ntn1","Dcc"
"1372","Ntn1","Neo1"
"1373","Ntn1","Unc5a"
"1374","Ntn1","Unc5b"
"1375","Ntn1","Unc5c"
"1376","Ntn1","Unc5d"
"1377","Ntn3","Cdon"
"1378","Ntn3","Neo1"
"1379","Ntn4","Dcc"
"1380","Ntn4","Unc5a"
"1381","Ntng1","Lrrc4c"
"1382","Ntng2","Lrrc4"
"1383","Nts","Ntsr1"
"1384","Nts","Ntsr2"
"1385","Nts","Sort1"
"1386","Nxph1","Nrxn1"
"1387","Nxph1","Nrxn2"
"1388","Nxph1","Nrxn3"
"1389","Nxph2","Nrxn1"
"1390","Nxph3","Nrxn1"
"1391","Nxph3","Nrxn2"
"1392","Nxph3","Nrxn3"
"1394","Olfm2","Robo2"
"1395","Omg","Lingo1"
"1396","Omg","Rtn4r"
"1397","Omg","Rtn4rl1"
"1398","Omg","Tnfrsf1b"
"1399","Orm3","Ccr5"
"1400","Osm","Il6st"
"1401","Osm","Lifr"
"1402","Osm","Osmr"
"1403","Ostn","Npr3"
"1404","Oxt","Avpr1a"
"1405","Oxt","Avpr1b"
"1406","Oxt","Avpr2"
"1407","Oxt","Oxtr"
"1408","Pcsk9","Vldlr"
"1409","Pdap1","Pdgfrb"
"1410","Pdgfa","Pdgfra"
"1411","Pdgfb","Art1"
"1412","Pdgfb","Lrp1"
"1413","Pdgfb","Pdgfra"
"1414","Pdgfb","Pdgfrb"
"1415","Pdgfc","Flt4"
"1416","Pdgfc","Kdr"
"1417","Pdgfc","Pdgfra"
"1418","Pdgfd","Pdgfrb"
"1419","Pdyn","Oprd1"
"1420","Pdyn","Oprk1"
"1421","Pdyn","Oprm1"
"1422","Penk","Mrgpra6"
"1423","Penk","Ogfr"
"1424","Penk","Oprd1"
"1425","Penk","Oprm1"
"1432","Pgf","Flt1"
"1433","Pgf","Nrp1"
"1434","Pgf","Nrp2"
"1435","Pigf","Flt1"
"1436","Pip","Cd4"
"1437","Pla2g10","Pla2r1"
"1438","Plat","Lrp1"
"1439","Plau","Igf2r"
"1440","Plau","Lrp1"
"1441","Plau","Lrp2"
"1442","Plau","Plaur"
"1443","Plau","St14"
"1444","Plg","F2r"
"1445","Plg","F2rl1"
"1446","Plg","F3"
"1447","Plg","Itga9"
"1448","Plg","Itgb1"
"1449","Plg","Plgrkt"
"1450","Pltp","Abca1"
"1451","Pmch","Mchr1"
"1453","Pnoc","Oprl1"
"1454","Podxl2","Sell"
"1455","Podxl","Sell"
"1456","Pomc","Mc1r"
"1457","Pomc","Mc2r"
"1458","Pomc","Mc3r"
"1459","Pomc","Mc4r"
"1460","Pomc","Mc5r"
"1461","Pomc","Oprd1"
"1462","Pomc","Oprk1"
"1463","Pomc","Oprm1"
"1464","Pon2","Htr2a"
"1465","Ppbp","Cxcr1"
"1466","Ppbp","Cxcr2"
"1467","Ppy","Npy4r"
"1468","Ppy","Npy5r"
"1469","Prlh","Prlhr"
"1475","Prok1","Prokr2"
"1477","Prok2","Prokr2"
"1478","Pros1","Axl"
"1479","Pros1","Tyro3"
"1480","Prss23","Tmem222"
"1482","Psap","Celsr1"
"1483","Psap","Gpr37"
"1484","Psap","Gpr37l1"
"1485","Psap","Lrp1"
"1486","Psen1","Ncstn"
"1487","Psen1","Notch1"
"1488","Psen1","Notch2"
"1489","Psen1","Notch3"
"1491","Pspn","Gfra1"
"1492","Pspn","Gfra4"
"1493","Pspn","Ret"
"1494","Ptdss1","Jmjd6"
"1495","Ptdss1","Scarb1"
"1496","Ptgs2","Cav1"
"1497","Ptgs2","Ptgdr2"
"1498","Pth2","Pth1r"
"1499","Pth2","Pth2r"
"1500","Pthlh","Prlhr"
"1501","Pthlh","Pth1r"
"1502","Pthlh","Pth2r"
"1503","Pth","Pth1r"
"1504","Pth","Pth2r"
"1505","Ptma","Vipr1"
"1506","Ptn","Alk"
"1507","Ptn","Cdh10"
"1508","Ptn","Plxnb2"
"1509","Ptn","Ptprb"
"1510","Ptn","Ptprs"
"1511","Ptn","Ptprz1"
"1512","Ptn","Sdc1"
"1513","Ptn","Sdc3"
"1514","Pyy","Fap"
"1515","Pyy","Npy1r"
"1516","Pyy","Npy2r"
"1517","Pyy","Npy4r"
"1518","Pyy","Npy5r"
"1519","Qrfp","P2ry14"
"1520","Qrfp","Qrfprl"
"1521","Raet1d","Klrk1"
"1522","Rarres2","Ccrl2"
"1523","Rarres2","Cmklr1"
"1524","Rarres2","Gpr1"
"1525","Rbp3","Notch1"
"1526","Rbp4","Stra6"
"1527","Reln","Itga3"
"1528","Reln","Itgb1"
"1529","Reln","Lrp8"
"1530","Reln","Vldlr"
"1531","Ren1","Atp6ap2"
"1532","Rgma","Neo1"
"1533","Rgmb","Neo1"
"1534","Rims1","Cacna1c"
"1535","Rims2","Abca1"
"1538","Rln1","Rxfp1"
"1539","Rln1","Rxfp2"
"1540","Rln3","Rxfp1"
"1541","Rln3","Rxfp2"
"1543","Rln3","Rxfp4"
"1544","Ear2","Tlr2"
"1545","Rph3a","Nrxn1"
"1546","Rps19","C5ar1"
"1547","Rspo1","Lgr4"
"1548","Rspo1","Lgr5"
"1549","Rspo1","Lgr6"
"1550","Rspo1","Lrp6"
"1551","Rspo1","Znrf3"
"1552","Rspo2","Lgr4"
"1553","Rspo2","Lgr5"
"1554","Rspo2","Lgr6"
"1555","Rspo3","Fzd8"
"1556","Rspo3","Lgr4"
"1557","Rspo3","Lgr5"
"1558","Rspo3","Lgr6"
"1559","Rspo3","Lrp6"
"1560","Rspo3","Sdc4"
"1561","Rspo4","Lgr4"
"1562","Rspo4","Lgr5"
"1563","Rspo4","Lgr6"
"1564","Rtn4","Cntnap1"
"1565","Rtn4","Lingo1"
"1566","Rtn4","Rtn4r"
"1567","Rtn4","Tnfrsf19"
"1568","S100a8","Tlr4"
"1569","S100a9","Tlr4"
"1570","Saa3","Fpr1"
"1571","Saa3","Fpr2"
"1572","Scgb1a1","Lmbr1l"
"1573","Scgb1a1","Lrp2"
"1574","Scgb3a1","Marco"
"1575","Scgb3a2","Marco"
"1576","Sct","Sctr"
"1577","Sct","Vipr1"
"1578","Sct","Vipr2"
"1579","Selplg","Sele"
"1580","Selplg","Sell"
"1581","Selplg","Selp"
"1582","Sema3a","Nrp1"
"1583","Sema3a","Nrp2"
"1584","Sema3a","Plxna1"
"1585","Sema3a","Plxna2"
"1586","Sema3a","Plxna4"
"1587","Sema3b","Nrp1"
"1588","Sema3b","Nrp2"
"1589","Sema3c","Nrp1"
"1590","Sema3c","Nrp2"
"1591","Sema3c","Plxnd1"
"1592","Sema3d","Nrp1"
"1593","Sema3e","Plxnd1"
"1594","Sema3f","Nrp1"
"1595","Sema3f","Nrp2"
"1596","Sema3f","Plxna3"
"1597","Sema3g","Nrp2"
"1598","Sema4a","Plxnd1"
"1599","Sema4b","Dcbld2"
"1600","Sema4c","Plxnb2"
"1601","Sema4d","Cd72"
"1602","Sema4d","Erbb2"
"1603","Sema4d","Met"
"1604","Sema4d","Plxnb1"
"1605","Sema4d","Plxnb2"
"1606","Sema4f","Nrp2"
"1607","Sema4g","Plxnb2"
"1608","Sema5a","Met"
"1609","Sema5a","Plxnb3"
"1610","Sema6a","Plxna2"
"1611","Sema6a","Plxna4"
"1612","Sema6d","Kdr"
"1613","Sema6d","Plxna1"
"1614","Sema6d","Trem2"
"1615","Sema6d","Tyrobp"
"1616","Sema7a","Itga1"
"1617","Sema7a","Itgb1"
"1618","Sema7a","Plxnc1"
"1620","Serpina7","Slc16a2"
"1621","Serpinc1","Lrp1"
"1622","Serpinc1","Sdc2"
"1623","Serpine1","Lrp1"
"1624","Serpine1","Lrp2"
"1625","Serpine2","Lrp1"
"1626","Serping1","Lrp1"
"1627","Serping1","Sele"
"1628","Serping1","Selp"
"1629","Sfrp1","Fzd2"
"1630","Sfrp1","Fzd6"
"1631","Sftpa1","Tlr2"
"1632","Sftpa1","Cd93"
"1633","Shank1","Abca1"
"1637","Shank1","Sstr2"
"1638","Shbg","Cd177"
"1639","Shbg","Cldn13"
"1640","Shbg","Slc37a1"
"1641","Shh","Boc"
"1642","Shh","Cdon"
"1643","Shh","Gpc5"
"1644","Shh","Hhip"
"1645","Shh","Lrp2"
"1646","Shh","Ptch1"
"1647","Shh","Ptch2"
"1648","Shh","Smo"
"1649","Slit1","Gpc1"
"1650","Slit1","Robo1"
"1651","Slit1","Sdc1"
"1652","Slit2","Gpc1"
"1653","Slit2","Robo1"
"1654","Slit2","Robo2"
"1655","Slit2","Robo4"
"1656","Slit2","Sdc1"
"1657","Slit3","Robo2"
"1658","Sorbs1","Insr"
"1659","Sost","Lrp5"
"1660","Sost","Lrp6"
"1661","Spink1","Egfr"
"1662","Spink1","Nrsn1"
"1663","Spint1","St14"
"1664","Spp1","Cd44"
"1665","Spp1","Itga4"
"1666","Spp1","Itga5"
"1667","Spp1","Itga9"
"1668","Spp1","Itgav"
"1669","Spp1","Itgb1"
"1670","Spp1","S1pr1"
"1671","Sst","Sstr1"
"1672","Sst","Sstr2"
"1673","Sst","Sstr3"
"1674","Sst","Sstr4"
"1675","Sst","Sstr5"
"1676","Sytl3","Nrxn1"
"1677","Tac1","Tacr1"
"1678","Tac1","Tacr2"
"1679","Tac1","Tacr3"
"1680","Tac2","Tacr1"
"1681","Tac2","Tacr2"
"1682","Tac2","Tacr3"
"1683","Tac4","Tacr1"
"1684","Tac4","Tacr2"
"1685","Tac4","Tacr3"
"1686","Tctn1","Tmem67"
"1687","Tdgf1","Acvr1b"
"1688","Tdgf1","Acvr1c"
"1689","Tdgf1","Acvr2a"
"1690","Tfpi","Lrp1"
"1691","Tfpi","Vldlr"
"1692","Trf","Tfr2"
"1693","Trf","Tfrc"
"1694","Tgfa","Egfr"
"1695","Tgfa","Erbb2"
"1696","Tgfa","Erbb4"
"1697","Tgfb1","Acvrl1"
"1698","Tgfb1","Eng"
"1699","Tgfb1","Itgav"
"1700","Tgfb1","Itgb6"
"1701","Tgfb1","Itgb8"
"1702","Tgfb1","Sdc2"
"1703","Tgfb1","Tgfbr1"
"1704","Tgfb1","Tgfbr2"
"1705","Tgfb1","Tgfbr3"
"1706","Tgfb2","Eng"
"1707","Tgfb2","Tgfbr1"
"1708","Tgfb2","Tgfbr2"
"1709","Tgfb2","Tgfbr3"
"1710","Tgfb3","Acvrl1"
"1711","Tgfb3","Eng"
"1712","Tgfb3","Tgfbr1"
"1713","Tgfb3","Tgfbr2"
"1714","Tgfb3","Tgfbr3"
"1716","Tgm2","Itgb1"
"1717","Tgm2","Itgb3"
"1718","Tgm2","Sdc4"
"1719","Tg","Asgr1"
"1720","Tg","Lrp2"
"1721","Thbs1","Cd36"
"1722","Thbs1","Cd47"
"1723","Thbs1","Itga2b"
"1724","Thbs1","Itga3"
"1725","Thbs1","Itga4"
"1726","Thbs1","Itga6"
"1727","Thbs1","Itgb1"
"1728","Thbs1","Itgb3"
"1729","Thbs1","Lrp1"
"1730","Thbs1","Lrp5"
"1731","Thbs1","Sdc1"
"1732","Thbs1","Tnfrsf11b"
"1733","Thbs2","Cd47"
"1734","Thbs2","Itga4"
"1735","Thbs2","Itga6"
"1736","Thbs2","Itgb1"
"1737","Thbs2","Notch3"
"1738","Thpo","Mpl"
"1739","Timp1","Cd63"
"1740","Timp2","Itga3"
"1741","Timp2","Itgb1"
"1742","Timp3","Agtr2"
"1743","Timp3","Kdr"
"1744","Tnc","Cntn1"
"1745","Tnc","Egfr"
"1746","Tnc","Itga5"
"1747","Tnc","Itga7"
"1748","Tnc","Itgb1"
"1749","Tnc","Ptprb"
"1751","Tnfsf10","Tnfrsf22"
"1752","Tnfsf10","Tnfrsf22"
"1753","Tnfsf10","Tnfrsf22"
"1754","Tnfsf10","Tnfrsf11b"
"1755","Tnfsf11","Tnfrsf11a"
"1756","Tnfsf11","Tnfrsf11b"
"1757","Tnfsf12","Tnfrsf12a"
"1758","Tnfsf12","Tnfrsf25"
"1759","Tnfsf13b","Tnfrsf13b"
"1760","Tnfsf13b","Tnfrsf13c"
"1761","Tnfsf13b","Tnfrsf17"
"1762","Tnfsf13","Fas"
"1763","Tnfsf13","Sdc2"
"1764","Tnfsf13","Tnfrsf11b"
"1765","Tnfsf13","Tnfrsf13b"
"1766","Tnfsf13","Tnfrsf14"
"1767","Tnfsf13","Tnfrsf17"
"1768","Tnfsf13","Tnfrsf1a"
"1769","Tnfsf14","Ltbr"
"1770","Tnfsf14","Tnfrsf14"
"1772","Tnfsf15","Tnfrsf25"
"1774","Tnfsf18","Tnfrsf18"
"1775","Tnfsf4","Tnfrsf4"
"1776","Tnfsf4","Traf2"
"1777","Tnfsf8","Tnfrsf8"
"1778","Tnfsf9","Tnfrsf9"
"1779","Tnfsf9","Traf2"
"1780","Tnf","Tnfrsf1a"
"1781","Tnf","Tnfrsf1b"
"1782","Tnf","Tnfrsf21"
"1783","Tnf","Traf2"
"1784","Trh","Trhr"
"1785","Tshb","Tshr"
"1786","Tslp","Il7r"
"1787","Ucn2","Crhr1"
"1788","Ucn2","Crhr2"
"1790","Ucn3","Crhr1"
"1791","Ucn3","Crhr2"
"1793","Ucn","Crhr1"
"1794","Ucn","Crhr2"
"1798","Vasp","Cxcr2"
"1799","Vcam1","Itga4"
"1800","Vcam1","Itgad"
"1801","Vcam1","Itgb1"
"1802","Vcam1","Itgb2"
"1803","Vcam1","Itgb7"
"1804","Vcan","Cd44"
"1805","Vcan","Egfr"
"1806","Vcan","Itga4"
"1807","Vcan","Itgb1"
"1808","Vcan","Selp"
"1809","Vcan","Tlr2"
"1810","Vegfa","Ephb2"
"1811","Vegfa","Flt1"
"1812","Vegfa","Gpc1"
"1813","Vegfa","Kdr"
"1814","Vegfa","Nrp1"
"1815","Vegfa","Nrp2"
"1816","Vegfb","Flt1"
"1817","Vegfb","Nrp1"
"1818","Vegfc","Flt4"
"1819","Vegfc","Kdr"
"1820","Vegfc","Nrp2"
"1821","Vegfc","Vipr2"
"1822","Vim","Cd44"
"1823","Vip","Adcyap1r1"
"1824","Vip","Sctr"
"1825","Vip","Vipr1"
"1826","Vip","Vipr2"
"1827","Vtn","Itga5"
"1828","Vtn","Itga8"
"1829","Vtn","Itgav"
"1830","Vtn","Itgb3"
"1831","Vtn","Itgb6"
"1832","Vtn","Itgb8"
"1833","Vtn","Plaur"
"1834","Vtn","Pvr"
"1835","Vtn","Tnfrsf11b"
"1836","Vwf","Gp1ba"
"1837","Vwf","Itga2b"
"1838","Vwf","Tnfrsf11b"
"1839","Wnt11","Fzd7"
"1840","Wnt1","Fzd3"
"1841","Wnt1","Fzd8"
"1842","Wnt1","Fzd9"
"1843","Wnt1","Lrp5"
"1844","Wnt1","Lrp6"
"1845","Wnt1","Ryk"
"1846","Wnt2","Fzd1"
"1847","Wnt2","Fzd5"
"1848","Wnt2","Fzd7"
"1849","Wnt2","Fzd8"
"1850","Wnt2","Fzd9"
"1851","Wnt3a","Apcdd1"
"1852","Wnt3a","Fzd1"
"1853","Wnt3a","Fzd2"
"1854","Wnt3a","Fzd5"
"1855","Wnt3a","Fzd6"
"1856","Wnt3a","Fzd7"
"1857","Wnt3a","Fzd8"
"1858","Wnt3a","Lrp1"
"1859","Wnt3a","Lrp6"
"1860","Wnt3a","Ryk"
"1861","Wnt3","Fzd1"
"1862","Wnt3","Fzd7"
"1863","Wnt3","Fzd8"
"1864","Wnt3","Lrp6"
"1865","Wnt3","Ryk"
"1866","Wnt4","Fzd2"
"1867","Wnt4","Fzd6"
"1868","Wnt5a","Fzd1"
"1869","Wnt5a","Fzd2"
"1870","Wnt5a","Fzd4"
"1871","Wnt5a","Fzd5"
"1872","Wnt5a","Fzd6"
"1873","Wnt5a","Fzd7"
"1874","Wnt5a","Fzd8"
"1875","Wnt5a","Lrp5"
"1876","Wnt5a","Mcam"
"1877","Wnt5a","Ror1"
"1878","Wnt5a","Ror2"
"1879","Wnt5a","Ryk"
"1880","Wnt7a","Fzd10"
"1881","Wnt7a","Fzd5"
"1882","Wnt7a","Fzd9"
"1883","Wnt7b","Fzd1"
"1884","Wnt7b","Fzd10"
"1885","Wnt7b","Lrp5"
"1886","Xcl1","Xcr1"
"1887","Xcl1","Xcr1"
"1888","Yars","Cxcr1"
"1889","Sbpl","Cxcr4"
"1890","Sbpl","Tlr2"
"1891","Sbpl","Tlr4"
"1892","Sbpl","Tlr5"
"1893","Sbpl","Tlr6"
"1894","Zp3","Mertk"
"127","Bdnf","Bex3"
"149","Bmp2","Hjv"
"244","Ccl17","Ackr1"
"245","Ccl3","Erg28"
"283","Ccl2","Ackr1"
"306","Ccl5","Ackr1"
"318","Ccl12","Ackr1"
"325","Ccl8","Ackr1"
"1367","Ntf5","Bex3"
"1634","Shank1","Adgrb2"
"1635","Shank1","Adgrl1"
"1636","Shank1","Adgrl2"
"1715","Tgm2","Adgrg1"
"3311","Cd55b","Adgre5"
"100","Areg","Egfr"
"444","Ccn2","Erbb4"
"445","Ccn2","Itga5"
"447","Ccn2","Itgb2"
"448","Ccn2","Lrp1"
"449","Ccn2","Lrp6"
"450","Ccn2","Ntrk1"
"487","Ccn1","Itga5"
"489","Ccn1","Itgav"
"490","Ccn1","Itgb2"
"491","Ccn1","Itgb3"
"492","Ccn1","Itgb5"
"739","Vegfd","Flt4"
"740","Vegfd","Itga9"
"741","Vegfd","Kdr"
"742","Vegfd","Nrp2"
"1257","Afdn","Epha7"
"1258","Afdn","Ephb2"
"1259","Afdn","Ephb3"
"1260","Afdn","Ephb6"
"1261","Afdn","F11r"
"1262","Afdn","Nrxn2"
"1263","Afdn","Nrxn3"
"1325","Ccn3","Notch1"
"1264","Afdn","Nectin1"
"1265","Afdn","Nectin2"
"1266","Afdn","Nectin3"
"1267","Afdn","Nectin4"
