"","cell","cluster"
"GK5a.M2.1_313","GK5a.M2.1_313",3
"GK5a.M2.1_320","GK5a.M2.1_320",14
"GK5a.M2.1_326","GK5a.M2.1_326",3
"GK5a.M2.1_327","GK5a.M2.1_327",7
"GK5a.M2.1_329","GK5a.M2.1_329",3
"GK5a.M2.1_333","GK5a.M2.1_333",2
"GK5a.M2.1_338","GK5a.M2.1_338",6
"GK5a.M2.1_339","GK5a.M2.1_339",11
"GK5a.M2.1_340","GK5a.M2.1_340",1
"GK5a.M2.1_341","GK5a.M2.1_341",6
"GK5a.M2.1_347","GK5a.M2.1_347",1
"GK5a.M2.1_348","GK5a.M2.1_348",1
"GK5a.M2.1_349","GK5a.M2.1_349",1
"GK5a.M2.1_351","GK5a.M2.1_351",1
"GK5a.M2.1_354","GK5a.M2.1_354",3
"GK5a.M2.1_363","GK5a.M2.1_363",1
"GK5a.M2.1_365","GK5a.M2.1_365",1
"GK5a.M2.1_367","GK5a.M2.1_367",1
"GK5a.M2.1_371","GK5a.M2.1_371",6
"GK5a.M2.1_372","GK5a.M2.1_372",1
"GK5a.M2.1_378","GK5a.M2.1_378",1
"GK5a.M2.2_2","GK5a.M2.2_2",1
"GK5a.M2.2_8","GK5a.M2.2_8",1
"GK5a.M2.2_11","GK5a.M2.2_11",4
"GK5a.M2.2_16","GK5a.M2.2_16",1
"GK5a.M2.2_19","GK5a.M2.2_19",5
"GK5a.M2.2_24","GK5a.M2.2_24",1
"GK5a.M2.2_25","GK5a.M2.2_25",2
"GK5a.M2.2_27","GK5a.M2.2_27",1
"GK5a.M2.2_31","GK5a.M2.2_31",6
"GK5a.M2.2_35","GK5a.M2.2_35",6
"GK5a.M2.2_36","GK5a.M2.2_36",1
"GK5a.M2.2_37","GK5a.M2.2_37",14
"GK5a.M2.2_38","GK5a.M2.2_38",3
"GK5a.M2.2_39","GK5a.M2.2_39",3
"GK5a.M2.2_46","GK5a.M2.2_46",1
"GK5a.M2.2_47","GK5a.M2.2_47",2
"GK5a.M2.2_49","GK5a.M2.2_49",1
"GK5a.M2.2_50","GK5a.M2.2_50",1
"GK5a.M2.2_52","GK5a.M2.2_52",7
"GK5a.M2.2_53","GK5a.M2.2_53",6
"GK5a.M2.2_54","GK5a.M2.2_54",1
"GK5a.M2.2_55","GK5a.M2.2_55",3
"GK5a.M2.2_58","GK5a.M2.2_58",6
"GK5a.M2.2_59","GK5a.M2.2_59",1
"GK5a.M2.2_61","GK5a.M2.2_61",6
"GK5a.M2.2_62","GK5a.M2.2_62",1
"GK5a.M2.2_63","GK5a.M2.2_63",1
"GK5a.M2.2_64","GK5a.M2.2_64",1
"GK5a.M2.2_65","GK5a.M2.2_65",1
"GK5a.M2.2_67","GK5a.M2.2_67",6
"GK5a.M2.2_69","GK5a.M2.2_69",6
"GK5a.M2.2_70","GK5a.M2.2_70",1
"GK5a.M2.2_75","GK5a.M2.2_75",1
"GK5a.M2.2_76","GK5a.M2.2_76",3
"GK5a.M2.2_77","GK5a.M2.2_77",1
"GK5a.M2.2_78","GK5a.M2.2_78",9
"GK5a.M2.2_79","GK5a.M2.2_79",5
"GK5a.M2.2_80","GK5a.M2.2_80",1
"GK5a.M2.2_81","GK5a.M2.2_81",6
"GK5a.M2.2_82","GK5a.M2.2_82",1
"GK5a.M2.2_83","GK5a.M2.2_83",1
"GK5a.M2.2_84","GK5a.M2.2_84",1
"GK5a.M2.2_85","GK5a.M2.2_85",1
"GK5a.M2.2_87","GK5a.M2.2_87",3
"GK5a.M2.2_89","GK5a.M2.2_89",1
"GK5a.M2.2_90","GK5a.M2.2_90",5
"GK5a.M2.2_94","GK5a.M2.2_94",1
"GK5a.M2.2_95","GK5a.M2.2_95",5
"GK5a.M2.2_99","GK5a.M2.2_99",7
"GK5a.M2.2_101","GK5a.M2.2_101",5
"GK5a.M2.2_102","GK5a.M2.2_102",7
"GK5a.M2.2_104","GK5a.M2.2_104",1
"GK5a.M2.2_106","GK5a.M2.2_106",7
"GK5a.M2.2_107","GK5a.M2.2_107",15
"GK5a.M2.2_108","GK5a.M2.2_108",1
"GK5a.M2.2_109","GK5a.M2.2_109",1
"GK5a.M2.2_111","GK5a.M2.2_111",5
"GK5a.M2.2_112","GK5a.M2.2_112",6
"GK5a.M2.2_113","GK5a.M2.2_113",14
"GK5a.M2.2_114","GK5a.M2.2_114",15
"GK5a.M2.2_116","GK5a.M2.2_116",7
"GK5a.M2.2_117","GK5a.M2.2_117",14
"GK5a.M2.2_118","GK5a.M2.2_118",1
"GK5a.M2.2_119","GK5a.M2.2_119",8
"GK5a.M2.2_120","GK5a.M2.2_120",1
"GK5a.M2.2_124","GK5a.M2.2_124",5
"GK5a.M2.2_125","GK5a.M2.2_125",5
"GK5a.M2.2_127","GK5a.M2.2_127",1
"GK5a.M2.2_128","GK5a.M2.2_128",2
"GK5a.M2.2_129","GK5a.M2.2_129",2
