"","cell","cluster"
"GK5a.M2.3_349","GK5a.M2.3_349",1
"GK5a.M2.3_350","GK5a.M2.3_350",5
"GK5a.M2.3_352","GK5a.M2.3_352",6
"GK5a.M2.3_355","GK5a.M2.3_355",6
"GK5a.M2.3_356","GK5a.M2.3_356",1
"GK5a.M2.3_361","GK5a.M2.3_361",5
"GK5a.M2.3_362","GK5a.M2.3_362",6
"GK5a.M2.3_363","GK5a.M2.3_363",5
"GK5a.M2.3_365","GK5a.M2.3_365",8
"GK5a.M2.3_367","GK5a.M2.3_367",7
"GK5a.M2.3_369","GK5a.M2.3_369",1
"GK5a.M2.3_372","GK5a.M2.3_372",5
"GK5a.M2.3_373","GK5a.M2.3_373",6
"GK5a.M2.3_375","GK5a.M2.3_375",7
"GK5a.M2.3_376","GK5a.M2.3_376",3
"GK5a.M2.3_377","GK5a.M2.3_377",5
"GK5a.M2.3_380","GK5a.M2.3_380",5
"GK5a.M2.4_1","GK5a.M2.4_1",5
"GK5a.M2.4_6","GK5a.M2.4_6",1
"GK5a.M2.4_13","GK5a.M2.4_13",1
"GK5a.M2.4_16","GK5a.M2.4_16",6
"GK5a.M2.4_17","GK5a.M2.4_17",1
"GK5a.M2.4_18","GK5a.M2.4_18",5
"GK5a.M2.4_23","GK5a.M2.4_23",5
"GK5a.M2.4_24","GK5a.M2.4_24",1
"GK5a.M2.4_29","GK5a.M2.4_29",1
"GK5a.M2.4_32","GK5a.M2.4_32",3
"GK5a.M2.4_33","GK5a.M2.4_33",3
"GK5a.M2.4_36","GK5a.M2.4_36",5
"GK5a.M2.4_37","GK5a.M2.4_37",1
"GK5a.M2.4_38","GK5a.M2.4_38",5
"GK5a.M2.4_39","GK5a.M2.4_39",7
"GK5a.M2.4_42","GK5a.M2.4_42",5
"GK5a.M2.4_47","GK5a.M2.4_47",5
"GK5a.M2.4_48","GK5a.M2.4_48",5
"GK5a.M2.4_50","GK5a.M2.4_50",3
"GK5a.M2.4_51","GK5a.M2.4_51",15
"GK5a.M2.4_55","GK5a.M2.4_55",7
"GK5a.M2.4_60","GK5a.M2.4_60",5
"GK5a.M2.4_62","GK5a.M2.4_62",1
"GK5a.M2.4_63","GK5a.M2.4_63",3
"GK5a.M2.4_64","GK5a.M2.4_64",1
"GK5a.M2.4_69","GK5a.M2.4_69",1
"GK5a.M2.4_70","GK5a.M2.4_70",5
"GK5a.M2.4_74","GK5a.M2.4_74",5
"GK5a.M2.4_75","GK5a.M2.4_75",1
"GK5a.M2.4_76","GK5a.M2.4_76",2
"GK5a.M2.4_78","GK5a.M2.4_78",3
"GK5a.M2.4_80","GK5a.M2.4_80",5
"GK5a.M2.4_82","GK5a.M2.4_82",3
"GK5a.M2.4_84","GK5a.M2.4_84",5
"GK5a.M2.4_90","GK5a.M2.4_90",2
"GK5a.M2.4_97","GK5a.M2.4_97",1
"GK5a.M2.4_100","GK5a.M2.4_100",7
"GK5a.M2.4_103","GK5a.M2.4_103",1
"GK5a.M2.4_104","GK5a.M2.4_104",18
"GK5a.M2.4_106","GK5a.M2.4_106",1
"GK5a.M2.4_108","GK5a.M2.4_108",7
"GK5a.M2.4_109","GK5a.M2.4_109",4
"GK5a.M2.4_111","GK5a.M2.4_111",2
"GK5a.M2.4_113","GK5a.M2.4_113",2
"GK5a.M2.4_114","GK5a.M2.4_114",1
"GK5a.M2.4_120","GK5a.M2.4_120",1
"GK5a.M2.4_122","GK5a.M2.4_122",6
"GK5a.M2.4_128","GK5a.M2.4_128",1
"GK5a.M2.4_129","GK5a.M2.4_129",3
"GK5a.M2.4_133","GK5a.M2.4_133",3
"GK5a.M2.4_140","GK5a.M2.4_140",1
"GK5a.M2.4_141","GK5a.M2.4_141",5
"GK5a.M2.4_142","GK5a.M2.4_142",1
"GK5a.M2.4_143","GK5a.M2.4_143",1
"GK5a.M2.4_144","GK5a.M2.4_144",5
"GK5a.M2.4_145","GK5a.M2.4_145",3
"GK5a.M2.4_147","GK5a.M2.4_147",1
"GK5a.M2.4_151","GK5a.M2.4_151",14
"GK5a.M2.4_152","GK5a.M2.4_152",2
"GK5a.M2.4_156","GK5a.M2.4_156",1
"GK5a.M2.4_160","GK5a.M2.4_160",3
"GK5a.M2.4_164","GK5a.M2.4_164",1
"GK5a.M2.4_165","GK5a.M2.4_165",5
"GK5a.M2.4_169","GK5a.M2.4_169",1
"GK5a.M2.4_171","GK5a.M2.4_171",1
"GK5a.M2.4_173","GK5a.M2.4_173",5
"GK5a.M2.4_174","GK5a.M2.4_174",3
"GK5a.M2.4_175","GK5a.M2.4_175",1
"GK5a.M2.4_180","GK5a.M2.4_180",5
"GK5a.M2.4_182","GK5a.M2.4_182",4
"GK5a.M2.4_183","GK5a.M2.4_183",5
"GK5a.M2.4_184","GK5a.M2.4_184",1
"GK5a.M2.4_185","GK5a.M2.4_185",2
"GK5a.M2.4_186","GK5a.M2.4_186",3
"GK5a.M2.4_189","GK5a.M2.4_189",5
"GK5a.M2.4_191","GK5a.M2.4_191",6
"GK5a.M2.4_193","GK5a.M2.4_193",4
"GK5a.M2.4_194","GK5a.M2.4_194",5
"GK5a.M2.4_196","GK5a.M2.4_196",18
"GK5a.M2.4_197","GK5a.M2.4_197",1
"GK5a.M2.4_198","GK5a.M2.4_198",2
"GK5a.M2.4_199","GK5a.M2.4_199",1
"GK5a.M2.4_201","GK5a.M2.4_201",3
"GK5a.M2.4_203","GK5a.M2.4_203",5
"GK5a.M2.4_204","GK5a.M2.4_204",5
"GK5a.M2.4_208","GK5a.M2.4_208",5
"GK5a.M2.4_209","GK5a.M2.4_209",1
"GK5a.M2.4_210","GK5a.M2.4_210",1
"GK5a.M2.4_213","GK5a.M2.4_213",6
"GK5a.M2.4_214","GK5a.M2.4_214",1
"GK5a.M2.4_218","GK5a.M2.4_218",1
"GK5a.M2.4_219","GK5a.M2.4_219",1
"GK5a.M2.4_220","GK5a.M2.4_220",7
"GK5a.M2.4_221","GK5a.M2.4_221",5
"GK5a.M2.4_222","GK5a.M2.4_222",1
"GK5a.M2.4_223","GK5a.M2.4_223",1
"GK5a.M2.4_224","GK5a.M2.4_224",1
"GK5a.M2.4_227","GK5a.M2.4_227",5
"GK5a.M2.4_228","GK5a.M2.4_228",2
"GK5a.M2.4_229","GK5a.M2.4_229",15
"GK5a.M2.4_230","GK5a.M2.4_230",1
"GK5a.M2.4_232","GK5a.M2.4_232",1
"GK5a.M2.4_234","GK5a.M2.4_234",6
"GK5a.M2.4_237","GK5a.M2.4_237",5
"GK5a.M2.4_238","GK5a.M2.4_238",1
"GK5a.M2.4_242","GK5a.M2.4_242",6
"GK5a.M2.4_243","GK5a.M2.4_243",1
"GK5a.M2.4_244","GK5a.M2.4_244",6
"GK5a.M2.4_245","GK5a.M2.4_245",1
"GK5a.M2.4_246","GK5a.M2.4_246",5
"GK5a.M2.4_247","GK5a.M2.4_247",1
"GK5a.M2.4_251","GK5a.M2.4_251",1
"GK5a.M2.4_252","GK5a.M2.4_252",7
"GK5a.M2.4_253","GK5a.M2.4_253",4
"GK5a.M2.4_254","GK5a.M2.4_254",2
"GK5a.M2.4_255","GK5a.M2.4_255",14
"GK5a.M2.4_257","GK5a.M2.4_257",1
"GK5a.M2.4_258","GK5a.M2.4_258",5
"GK5a.M2.4_259","GK5a.M2.4_259",1
"GK5a.M2.4_260","GK5a.M2.4_260",2
"GK5a.M2.4_261","GK5a.M2.4_261",1
"GK5a.M2.4_263","GK5a.M2.4_263",1
"GK5a.M2.4_264","GK5a.M2.4_264",1
"GK5a.M2.4_265","GK5a.M2.4_265",14
"GK5a.M2.4_266","GK5a.M2.4_266",5
"GK5a.M2.4_268","GK5a.M2.4_268",3
"GK5a.M2.4_272","GK5a.M2.4_272",3
"GK5a.M2.4_276","GK5a.M2.4_276",1
"GK5a.M2.4_281","GK5a.M2.4_281",3
"GK5a.M2.4_284","GK5a.M2.4_284",1
"GK5a.M2.4_285","GK5a.M2.4_285",1
"GK5a.M2.4_286","GK5a.M2.4_286",1
"GK5a.M2.4_288","GK5a.M2.4_288",1
"GK5a.M2.4_290","GK5a.M2.4_290",5
"GK5a.M2.4_292","GK5a.M2.4_292",5
"GK5a.M2.4_293","GK5a.M2.4_293",1
"GK5a.M2.4_294","GK5a.M2.4_294",1
"GK5a.M2.4_296","GK5a.M2.4_296",5
"GK5a.M2.4_301","GK5a.M2.4_301",2
"GK5a.M2.4_302","GK5a.M2.4_302",5
"GK5a.M2.4_307","GK5a.M2.4_307",3
"GK5a.M2.4_310","GK5a.M2.4_310",2
"GK5a.M2.4_311","GK5a.M2.4_311",3
"GK5a.M2.4_313","GK5a.M2.4_313",1
"GK5a.M2.4_314","GK5a.M2.4_314",1
"GK5a.M2.4_315","GK5a.M2.4_315",1
"GK5a.M2.4_317","GK5a.M2.4_317",7
"GK5a.M2.4_318","GK5a.M2.4_318",18
"GK5a.M2.4_319","GK5a.M2.4_319",18
"GK5a.M2.4_320","GK5a.M2.4_320",2
"GK5a.M2.4_321","GK5a.M2.4_321",2
"GK5a.M2.4_323","GK5a.M2.4_323",5
"GK5a.M2.4_325","GK5a.M2.4_325",4
"GK5a.M2.4_327","GK5a.M2.4_327",1
"GK5a.M2.4_328","GK5a.M2.4_328",5
"GK5a.M2.4_331","GK5a.M2.4_331",1
"GK5a.M2.4_333","GK5a.M2.4_333",3
"GK5a.M2.4_334","GK5a.M2.4_334",2
"GK5a.M2.4_336","GK5a.M2.4_336",2
"GK5a.M2.4_337","GK5a.M2.4_337",1
"GK5a.M2.4_338","GK5a.M2.4_338",2
"GK5a.M2.4_341","GK5a.M2.4_341",1
"GK5a.M2.4_342","GK5a.M2.4_342",1
"GK5a.M2.4_343","GK5a.M2.4_343",5
"GK5a.M2.4_349","GK5a.M2.4_349",1
"GK5a.M2.4_352","GK5a.M2.4_352",8
"GK5a.M2.4_354","GK5a.M2.4_354",1
"GK5a.M2.4_355","GK5a.M2.4_355",5
"GK5a.M2.4_356","GK5a.M2.4_356",1
"GK5a.M2.4_362","GK5a.M2.4_362",1
"GK5a.M2.4_363","GK5a.M2.4_363",2
"GK5a.M2.4_365","GK5a.M2.4_365",1
"GK5a.M2.4_366","GK5a.M2.4_366",3
"GK5a.M2.4_368","GK5a.M2.4_368",4
"GK5a.M2.4_369","GK5a.M2.4_369",1
"GK5a.M2.4_372","GK5a.M2.4_372",7
"GK5a.M2.4_373","GK5a.M2.4_373",3
"GK5a.M2.4_374","GK5a.M2.4_374",1
"GK5a.M2.4_375","GK5a.M2.4_375",3
"GK5a.M2.4_376","GK5a.M2.4_376",3
"GK5a.M2.4_377","GK5a.M2.4_377",1
"GK5a.M2.4_378","GK5a.M2.4_378",6
"GK5a.M2.5_2","GK5a.M2.5_2",6
"GK5a.M2.5_9","GK5a.M2.5_9",17
"GK5a.M2.5_12","GK5a.M2.5_12",4
"GK5a.M2.5_13","GK5a.M2.5_13",6
"GK5a.M2.5_16","GK5a.M2.5_16",5
"GK5a.M2.5_19","GK5a.M2.5_19",1
"GK5a.M2.5_20","GK5a.M2.5_20",3
"GK5a.M2.5_21","GK5a.M2.5_21",5
"GK5a.M2.5_24","GK5a.M2.5_24",1
"GK5a.M2.5_25","GK5a.M2.5_25",5
"GK5a.M2.5_27","GK5a.M2.5_27",1
"GK5a.M2.5_29","GK5a.M2.5_29",1
"GK5a.M2.5_32","GK5a.M2.5_32",5
"GK5a.M2.5_33","GK5a.M2.5_33",7
"GK5a.M2.5_37","GK5a.M2.5_37",5
"GK5a.M2.5_39","GK5a.M2.5_39",5
"GK5a.M2.5_43","GK5a.M2.5_43",5
"GK5a.M2.5_44","GK5a.M2.5_44",1
"GK5a.M2.5_45","GK5a.M2.5_45",6
"GK5a.M2.5_47","GK5a.M2.5_47",1
"GK5a.M2.5_48","GK5a.M2.5_48",1
"GK5a.M2.5_49","GK5a.M2.5_49",6
"GK5a.M2.5_50","GK5a.M2.5_50",5
"GK5a.M2.5_52","GK5a.M2.5_52",5
"GK5a.M2.5_54","GK5a.M2.5_54",1
"GK5a.M2.5_55","GK5a.M2.5_55",5
"GK5a.M2.5_60","GK5a.M2.5_60",3
"GK5a.M2.5_62","GK5a.M2.5_62",1
"GK5a.M2.5_63","GK5a.M2.5_63",5
"GK5a.M2.5_66","GK5a.M2.5_66",1
"GK5a.M2.5_70","GK5a.M2.5_70",1
"GK5a.M2.5_72","GK5a.M2.5_72",1
"GK5a.M2.5_73","GK5a.M2.5_73",6
"GK5a.M2.5_77","GK5a.M2.5_77",1
"GK5a.M2.5_81","GK5a.M2.5_81",3
"GK5a.M2.5_83","GK5a.M2.5_83",1
"GK5a.M2.5_84","GK5a.M2.5_84",1
"GK5a.M2.5_85","GK5a.M2.5_85",3
"GK5a.M2.5_88","GK5a.M2.5_88",5
"GK5a.M2.5_94","GK5a.M2.5_94",1
"GK5a.M2.5_95","GK5a.M2.5_95",3
"GK5a.M2.5_99","GK5a.M2.5_99",6
"GK5a.M2.5_104","GK5a.M2.5_104",5
"GK5a.M2.5_106","GK5a.M2.5_106",5
"GK5a.M2.5_114","GK5a.M2.5_114",3
"GK5a.M2.5_115","GK5a.M2.5_115",6
"GK5a.M2.5_116","GK5a.M2.5_116",5
"GK5a.M2.5_119","GK5a.M2.5_119",3
"GK5a.M2.5_120","GK5a.M2.5_120",1
"GK5a.M2.5_121","GK5a.M2.5_121",1
"GK5a.M2.5_123","GK5a.M2.5_123",5
"GK5a.M2.5_125","GK5a.M2.5_125",7
"GK5a.M2.5_126","GK5a.M2.5_126",6
"GK5a.M2.5_127","GK5a.M2.5_127",6
"GK5a.M2.5_130","GK5a.M2.5_130",1
"GK5a.M2.5_131","GK5a.M2.5_131",1
"GK5a.M2.5_132","GK5a.M2.5_132",3
"GK5a.M2.5_133","GK5a.M2.5_133",1
"GK5a.M2.5_134","GK5a.M2.5_134",5
"GK5a.M2.5_135","GK5a.M2.5_135",10
"GK5a.M2.5_139","GK5a.M2.5_139",1
"GK5a.M2.5_140","GK5a.M2.5_140",1
"GK5a.M2.5_142","GK5a.M2.5_142",1
"GK5a.M2.5_143","GK5a.M2.5_143",1
"GK5a.M2.5_144","GK5a.M2.5_144",3
"GK5a.M2.5_148","GK5a.M2.5_148",1
"GK5a.M2.5_149","GK5a.M2.5_149",2
"GK5a.M2.5_150","GK5a.M2.5_150",1
"GK5a.M2.5_151","GK5a.M2.5_151",1
"GK5a.M2.5_152","GK5a.M2.5_152",4
"GK5a.M2.5_153","GK5a.M2.5_153",1
"GK5a.M2.5_154","GK5a.M2.5_154",1
"GK5a.M2.5_156","GK5a.M2.5_156",1
"GK5a.M2.5_157","GK5a.M2.5_157",5
"GK5a.M2.5_160","GK5a.M2.5_160",1
"GK5a.M2.5_161","GK5a.M2.5_161",2
"GK5a.M2.5_164","GK5a.M2.5_164",1
"GK5a.M2.5_165","GK5a.M2.5_165",5
"GK5a.M2.5_166","GK5a.M2.5_166",3
"GK5a.M2.5_170","GK5a.M2.5_170",7
"GK5a.M2.5_173","GK5a.M2.5_173",1
"GK5a.M2.5_175","GK5a.M2.5_175",3
"GK5a.M2.5_176","GK5a.M2.5_176",5
"GK5a.M2.5_178","GK5a.M2.5_178",17
"GK5a.M2.5_180","GK5a.M2.5_180",1
"GK5a.M2.5_181","GK5a.M2.5_181",17
"GK5a.M2.5_182","GK5a.M2.5_182",2
"GK5a.M2.5_185","GK5a.M2.5_185",8
"GK5a.M2.5_186","GK5a.M2.5_186",7
"GK5a.M2.5_187","GK5a.M2.5_187",1
"GK5a.M2.5_188","GK5a.M2.5_188",2
"GK5a.M2.5_193","GK5a.M2.5_193",1
"GK5a.M2.5_195","GK5a.M2.5_195",5
"GK5a.M2.5_200","GK5a.M2.5_200",1
"GK5a.M2.5_204","GK5a.M2.5_204",1
"GK5a.M2.5_205","GK5a.M2.5_205",5
"GK5a.M2.5_207","GK5a.M2.5_207",5
"GK5a.M2.5_208","GK5a.M2.5_208",1
"GK5a.M2.5_212","GK5a.M2.5_212",1
"GK5a.M2.5_217","GK5a.M2.5_217",1
"GK5a.M2.5_218","GK5a.M2.5_218",14
"GK5a.M2.5_219","GK5a.M2.5_219",5
"GK5a.M2.5_221","GK5a.M2.5_221",1
"GK5a.M2.5_223","GK5a.M2.5_223",5
"GK5a.M2.5_224","GK5a.M2.5_224",5
"GK5a.M2.5_226","GK5a.M2.5_226",1
"GK5a.M2.5_228","GK5a.M2.5_228",3
"GK5a.M2.5_229","GK5a.M2.5_229",1
"GK5a.M2.5_230","GK5a.M2.5_230",8
"GK5a.M2.5_236","GK5a.M2.5_236",3
"GK5a.M2.5_240","GK5a.M2.5_240",1
"GK5a.M2.5_241","GK5a.M2.5_241",7
"GK5a.M2.5_245","GK5a.M2.5_245",5
"GK5a.M2.5_246","GK5a.M2.5_246",6
"GK5a.M2.5_250","GK5a.M2.5_250",5
"GK5a.M2.5_253","GK5a.M2.5_253",6
"GK5a.M2.5_255","GK5a.M2.5_255",1
"GK5a.M2.5_256","GK5a.M2.5_256",6
"GK5a.M2.5_258","GK5a.M2.5_258",5
"GK5a.M2.5_259","GK5a.M2.5_259",7
"GK5a.M2.5_260","GK5a.M2.5_260",1
"GK5a.M2.5_261","GK5a.M2.5_261",5
"GK5a.M2.5_262","GK5a.M2.5_262",4
"GK5a.M2.5_267","GK5a.M2.5_267",5
"GK5a.M2.5_269","GK5a.M2.5_269",1
"GK5a.M2.5_271","GK5a.M2.5_271",2
"GK5a.M2.5_276","GK5a.M2.5_276",1
"GK5a.M2.5_277","GK5a.M2.5_277",1
"GK5a.M2.5_278","GK5a.M2.5_278",1
"GK5a.M2.5_279","GK5a.M2.5_279",1
"GK5a.M2.5_280","GK5a.M2.5_280",1
"GK5a.M2.5_281","GK5a.M2.5_281",2
"GK5a.M2.5_283","GK5a.M2.5_283",5
"GK5a.M2.5_284","GK5a.M2.5_284",7
"GK5a.M2.5_285","GK5a.M2.5_285",5
"GK5a.M2.5_286","GK5a.M2.5_286",5
"GK5a.M2.5_292","GK5a.M2.5_292",5
"GK5a.M2.5_293","GK5a.M2.5_293",1
"GK5a.M2.5_294","GK5a.M2.5_294",7
"GK5a.M2.5_296","GK5a.M2.5_296",6
"GK5a.M2.5_300","GK5a.M2.5_300",1
"GK5a.M2.5_301","GK5a.M2.5_301",5
"GK5a.M2.5_303","GK5a.M2.5_303",5
"GK5a.M2.5_308","GK5a.M2.5_308",2
"GK5a.M2.5_309","GK5a.M2.5_309",6
"GK5a.M2.5_313","GK5a.M2.5_313",5
"GK5a.M2.5_314","GK5a.M2.5_314",8
"GK5a.M2.5_315","GK5a.M2.5_315",5
"GK5a.M2.5_322","GK5a.M2.5_322",15
"GK5a.M2.5_326","GK5a.M2.5_326",5
"GK5a.M2.5_327","GK5a.M2.5_327",5
"GK5a.M2.5_331","GK5a.M2.5_331",1
"GK5a.M2.5_334","GK5a.M2.5_334",6
"GK5a.M2.5_335","GK5a.M2.5_335",1
"GK5a.M2.5_336","GK5a.M2.5_336",1
"GK5a.M2.5_337","GK5a.M2.5_337",4
"GK5a.M2.5_339","GK5a.M2.5_339",5
"GK5a.M2.5_340","GK5a.M2.5_340",9
"GK5a.M2.5_342","GK5a.M2.5_342",12
"GK5a.M2.5_343","GK5a.M2.5_343",6
"GK5a.M2.5_344","GK5a.M2.5_344",5
"GK5a.M2.5_348","GK5a.M2.5_348",1
"GK5a.M2.5_354","GK5a.M2.5_354",1
"GK5a.M2.5_361","GK5a.M2.5_361",5
"GK5a.M2.5_363","GK5a.M2.5_363",1
"GK5a.M2.5_368","GK5a.M2.5_368",18
"GK5a.M2.5_370","GK5a.M2.5_370",1
"GK5a.M2.5_371","GK5a.M2.5_371",5
"GK5a.M2.5_372","GK5a.M2.5_372",1
"GK5a.M2.5_376","GK5a.M2.5_376",3
"GK5a.M2.5_378","GK5a.M2.5_378",2
"GK5a.M2.5_379","GK5a.M2.5_379",7
"GK5b.G_2","GK5b.G_2",6
"GK5b.G_9","GK5b.G_9",2
"GK5b.G_13","GK5b.G_13",6
"GK5b.G_17","GK5b.G_17",6
"GK5b.G_18","GK5b.G_18",6
"GK5b.G_19","GK5b.G_19",6
"GK5b.G_20","GK5b.G_20",2
"GK5b.G_25","GK5b.G_25",2
"GK5b.G_26","GK5b.G_26",6
"GK5b.G_30","GK5b.G_30",6
"GK5b.G_31","GK5b.G_31",2
"GK5b.G_32","GK5b.G_32",2
"GK5b.G_34","GK5b.G_34",6
"GK5b.G_36","GK5b.G_36",6
"GK5b.G_37","GK5b.G_37",5
"GK5b.G_40","GK5b.G_40",6
"GK5b.G_42","GK5b.G_42",2
"GK5b.G_43","GK5b.G_43",6
"GK5b.G_45","GK5b.G_45",6
"GK5b.G_46","GK5b.G_46",3
"GK5b.G_47","GK5b.G_47",6
"GK5b.G_48","GK5b.G_48",6
"GK5b.G_51","GK5b.G_51",6
"GK5b.G_52","GK5b.G_52",6
"GK5b.G_56","GK5b.G_56",2
"GK5b.G_57","GK5b.G_57",4
"GK5b.G_59","GK5b.G_59",6
"GK5b.G_61","GK5b.G_61",6
"GK5b.G_63","GK5b.G_63",6
"GK5b.G_64","GK5b.G_64",6
"GK5b.G_66","GK5b.G_66",2
"GK5b.G_68","GK5b.G_68",2
"GK5b.G_69","GK5b.G_69",6
"GK5b.G_70","GK5b.G_70",6
"GK5b.G_71","GK5b.G_71",6
"GK5b.G_73","GK5b.G_73",1
"GK5b.G_76","GK5b.G_76",2
"GK5b.G_78","GK5b.G_78",3
"GK5b.G_86","GK5b.G_86",2
"GK5b.G_87","GK5b.G_87",2
"GK5b.G_89","GK5b.G_89",1
"GK5b.G_90","GK5b.G_90",6
"GK5b.G_92","GK5b.G_92",6
"GK5b.G_94","GK5b.G_94",1
"GK5b.G_95","GK5b.G_95",2
"GK5b.G_103","GK5b.G_103",5
"GK5b.G_108","GK5b.G_108",5
"GK5b.G_126","GK5b.G_126",2
"GK5b.G_128","GK5b.G_128",6
"GK5b.G_130","GK5b.G_130",6
"GK5b.G_131","GK5b.G_131",6
"GK5b.G_135","GK5b.G_135",6
"GK5b.G_140","GK5b.G_140",2
"GK5b.G_141","GK5b.G_141",6
"GK5b.G_146","GK5b.G_146",6
"GK5b.G_147","GK5b.G_147",5
"GK5b.G_149","GK5b.G_149",3
"GK5b.G_163","GK5b.G_163",6
"GK5b.G_164","GK5b.G_164",2
"GK5b.G_165","GK5b.G_165",6
"GK5b.G_167","GK5b.G_167",2
"GK5b.G_168","GK5b.G_168",1
"GK5b.G_169","GK5b.G_169",2
"GK5b.G_170","GK5b.G_170",6
"GK5b.G_171","GK5b.G_171",2
"GK5b.G_172","GK5b.G_172",2
"GK5b.G_173","GK5b.G_173",6
"GK5b.G_174","GK5b.G_174",6
"GK5b.G_175","GK5b.G_175",5
"GK5b.G_176","GK5b.G_176",3
"GK5b.G_181","GK5b.G_181",6
"GK5b.G_188","GK5b.G_188",6
"GK5b.G_192","GK5b.G_192",6
"GK5b.G_193","GK5b.G_193",2
"GK5b.G_194","GK5b.G_194",6
"GK5b.G_200","GK5b.G_200",1
"GK5b.G_201","GK5b.G_201",6
"GK5b.G_202","GK5b.G_202",2
"GK5b.G_204","GK5b.G_204",2
"GK5b.G_205","GK5b.G_205",5
"GK5b.G_208","GK5b.G_208",2
"GK5b.G_210","GK5b.G_210",2
"GK5b.G_211","GK5b.G_211",5
"GK5b.G_212","GK5b.G_212",3
"GK5b.G_217","GK5b.G_217",6
"GK5b.G_219","GK5b.G_219",1
"GK5b.G_222","GK5b.G_222",6
"GK5b.G_224","GK5b.G_224",6
"GK5b.G_226","GK5b.G_226",6
"GK5b.G_228","GK5b.G_228",6
"GK5b.G_229","GK5b.G_229",2
"GK5b.G_230","GK5b.G_230",2
"GK5b.G_232","GK5b.G_232",6
"GK5b.G_233","GK5b.G_233",6
"GK5b.G_234","GK5b.G_234",6
"GK5b.G_236","GK5b.G_236",6
"GK5b.G_237","GK5b.G_237",6
"GK5b.G_238","GK5b.G_238",1
"GK5b.G_240","GK5b.G_240",19
"GK5b.G_242","GK5b.G_242",6
"GK5b.G_243","GK5b.G_243",2
"GK5b.G_245","GK5b.G_245",2
"GK5b.G_247","GK5b.G_247",6
"GK5b.G_251","GK5b.G_251",5
"GK5b.G_252","GK5b.G_252",6
"GK5b.G_253","GK5b.G_253",5
"GK5b.G_254","GK5b.G_254",2
"GK5b.G_259","GK5b.G_259",5
"GK5b.G_260","GK5b.G_260",5
"GK5b.G_261","GK5b.G_261",2
"GK5b.G_263","GK5b.G_263",2
"GK5b.G_264","GK5b.G_264",6
"GK5b.G_265","GK5b.G_265",5
"GK5b.G_270","GK5b.G_270",1
"GK5b.G_273","GK5b.G_273",6
"GK5b.G_274","GK5b.G_274",2
"GK5b.G_275","GK5b.G_275",5
"GK5b.G_277","GK5b.G_277",6
"GK5b.G_278","GK5b.G_278",6
"GK5b.G_279","GK5b.G_279",6
"GK5b.G_280","GK5b.G_280",2
"GK5b.G_284","GK5b.G_284",2
"GK5b.G_286","GK5b.G_286",2
"GK5b.G_287","GK5b.G_287",6
"GK5b.G_295","GK5b.G_295",6
"GK5b.G_298","GK5b.G_298",6
"GK5b.G_301","GK5b.G_301",6
"GK5b.G_302","GK5b.G_302",6
"GK5b.G_305","GK5b.G_305",6
"GK5b.G_307","GK5b.G_307",2
"GK5b.G_308","GK5b.G_308",6
"GK5b.G_315","GK5b.G_315",6
"GK5b.G_317","GK5b.G_317",6
"GK5b.G_318","GK5b.G_318",2
"GK5b.G_325","GK5b.G_325",2
"GK5b.G_327","GK5b.G_327",6
"GK5b.G_329","GK5b.G_329",2
"GK5b.G_332","GK5b.G_332",6
"GK5b.G_339","GK5b.G_339",2
"GK5b.G_345","GK5b.G_345",2
"GK5b.G_353","GK5b.G_353",6
"GK5b.G_354","GK5b.G_354",6
"GK5b.G_357","GK5b.G_357",2
"GK5b.G_358","GK5b.G_358",1
"GK5b.G_359","GK5b.G_359",6
"GK5b.G_361","GK5b.G_361",6
"GK5b.G_362","GK5b.G_362",6
"GK5b.G_364","GK5b.G_364",6
"GK5b.G_367","GK5b.G_367",6
"GK5b.G_369","GK5b.G_369",6
"GK5b.G_371","GK5b.G_371",6
"GK5b.G_378","GK5b.G_378",6
"GK5b.G_379","GK5b.G_379",2
"GK5b.G_384","GK5b.G_384",2
"Gk5b.L_2","Gk5b.L_2",1
"Gk5b.L_3","Gk5b.L_3",8
"Gk5b.L_9","Gk5b.L_9",7
"Gk5b.L_11","Gk5b.L_11",6
"Gk5b.L_15","Gk5b.L_15",6
"Gk5b.L_17","Gk5b.L_17",5
"Gk5b.L_18","Gk5b.L_18",1
"Gk5b.L_23","Gk5b.L_23",1
"Gk5b.L_25","Gk5b.L_25",2
"Gk5b.L_26","Gk5b.L_26",8
"Gk5b.L_28","Gk5b.L_28",12
"Gk5b.L_29","Gk5b.L_29",5
"Gk5b.L_38","Gk5b.L_38",5
"Gk5b.L_40","Gk5b.L_40",4
"Gk5b.L_41","Gk5b.L_41",1
"Gk5b.L_47","Gk5b.L_47",1
"Gk5b.L_51","Gk5b.L_51",5
"Gk5b.L_52","Gk5b.L_52",18
"Gk5b.L_53","Gk5b.L_53",1
"Gk5b.L_55","Gk5b.L_55",2
"Gk5b.L_56","Gk5b.L_56",6
"Gk5b.L_57","Gk5b.L_57",6
"Gk5b.L_58","Gk5b.L_58",1
"Gk5b.L_60","Gk5b.L_60",3
"Gk5b.L_61","Gk5b.L_61",2
"Gk5b.L_63","Gk5b.L_63",5
"Gk5b.L_64","Gk5b.L_64",1
"Gk5b.L_66","Gk5b.L_66",19
"Gk5b.L_68","Gk5b.L_68",5
"Gk5b.L_69","Gk5b.L_69",5
"Gk5b.L_71","Gk5b.L_71",1
"Gk5b.L_72","Gk5b.L_72",2
