"","cluster1","cluster2","type"
"1","1","5","Significantly enriched"
"2","1","8","Significantly enriched"
"3","3","17","Significantly enriched"
"4","1","3","Significantly depleted"
"5","1","7","Significantly depleted"
"6","2","5","Significantly depleted"
"7","3","5","Significantly depleted"
"8","5","7","Significantly depleted"
"9","6","7","Significantly depleted"
